2023-03-20 22:49:33.322 [main] INFO  org.example.Calculator - [POWER - 4.0 RAISED TO] 3.0
2023-03-20 22:49:33.322 [main] INFO  org.example.Calculator - [RESULT - POWER] - 64.0
2023-03-20 22:49:33.322 [main] INFO  org.example.Calculator - [POWER - 5.0 RAISED TO] 3.0
2023-03-20 22:49:33.322 [main] INFO  org.example.Calculator - [RESULT - POWER] - 125.0
2023-03-20 22:49:33.323 [main] INFO  org.example.Calculator - [POWER - 2.0 RAISED TO] 3.0
2023-03-20 22:49:33.323 [main] INFO  org.example.Calculator - [RESULT - POWER] - 8.0
2023-03-20 22:49:33.323 [main] INFO  org.example.Calculator - [POWER - 1.0 RAISED TO] 3.0
2023-03-20 22:49:33.323 [main] INFO  org.example.Calculator - [RESULT - POWER] - 1.0
2023-03-20 22:49:33.323 [main] INFO  org.example.Calculator - [POWER - 3.0 RAISED TO] 4.0
2023-03-20 22:49:33.324 [main] INFO  org.example.Calculator - [RESULT - POWER] - 81.0
2023-03-20 22:49:33.324 [main] INFO  org.example.Calculator - [POWER - 4.0 RAISED TO] 3.0
2023-03-20 22:49:33.324 [main] INFO  org.example.Calculator - [RESULT - POWER] - 64.0
2023-03-20 22:49:33.324 [main] INFO  org.example.Calculator - [POWER - 5.0 RAISED TO] 2.0
2023-03-20 22:49:33.324 [main] INFO  org.example.Calculator - [RESULT - POWER] - 25.0
2023-03-20 22:49:33.325 [main] INFO  org.example.Calculator - [NATURAL LOG] - 2.4
2023-03-20 22:49:33.325 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.8754687373538999
2023-03-20 22:49:33.325 [main] INFO  org.example.Calculator - [NATURAL LOG] - 2.1
2023-03-20 22:49:33.326 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.7419373447293773
2023-03-20 22:51:45.378 [main] INFO  org.example.Calculator - [SQ ROOT] - 16.0
2023-03-20 22:51:45.380 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 4.0
